0,0,0,428,400,360,210,400,360,2,0,0,0,0,0,0,0,2,5,2,2,7,1
0,0,0,864,808,728,0,808,728,4,0,0,0,0,0,0,0,4,0,1,2,4,0
0,0,0,864,808,728,0,808,728,4,0,0,0,0,0,0,0,4,0,1,2,4,0
0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,5,1,0,5,1
1616,1252,0,1074,804,830,168,804,830,6,0,0,0,0,0,0,26,6,4,5,11,36,0
0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,5,1,0,5,1
0,0,0,558,0,342,0,0,342,4,0,0,0,0,0,0,0,4,0,1,3,4,0
30671,30111,27987,21619,20453,20071,0,20453,20071,12,0,0,0,0,0,0,40,42,0,5,11,82,0
0,0,0,558,0,342,0,0,342,4,0,0,0,0,0,0,0,4,0,1,3,4,0
0,0,0,864,808,728,0,808,728,4,0,0,0,0,0,0,0,4,0,1,2,4,0
